date,section,q_star_width_norm_mean,q_star_width_norm_p95,level_upstream_m_mean,sample_count
2023-01-03,section_8,6.945331173033396e-06,7.137453182930508e-06,3.1479611805555554,1440
2023-01-04,section_1,8.043373225088236e-06,8.096163585240477e-06,3.148060555555556,1440
2023-01-04,section_2,1.444887528829474e-06,1.4658737338897244e-06,3.148060555555556,1440
2023-01-04,section_3,4.469221825334052e-07,4.495465858339355e-07,3.148060555555556,1440
2023-01-04,section_4,2.4355979628691616e-08,2.5523148636704804e-08,3.148060555555556,1440
2023-01-04,section_5,1.1907201448940062e-08,1.2583812141630356e-08,3.148060555555556,1440
2023-01-04,section_6,9.058673345255792e-07,9.18494355813272e-07,3.148060555555556,1440
2023-01-04,section_7,1.1289692415802693e-06,1.1433837020219014e-06,3.148060555555556,1440
2023-01-04,section_8,7.0459829588102245e-06,7.24627776448019e-06,3.148060555555556,1440
2023-01-05,section_1,8.02413080253227e-06,8.085908678794122e-06,3.148075416666667,1440
2023-01-05,section_2,1.4400669141090009e-06,1.4597676788249786e-06,3.148075416666667,1440
2023-01-05,section_3,4.506465789368066e-07,4.537482553717672e-07,3.148075416666667,1440
2023-01-05,section_4,2.4396535156483064e-08,2.5114400281785105e-08,3.148075416666667,1440
2023-01-05,section_5,1.2607139065951464e-08,1.2965416841787286e-08,3.148075416666667,1440
2023-01-05,section_6,8.89744402577451e-07,8.972238724889714e-07,3.148075416666667,1440
2023-01-05,section_7,1.1140133108489367e-06,1.1303760423632437e-06,3.148075416666667,1440
2023-01-05,section_8,6.979081416151338e-06,7.168445122936138e-06,3.148075416666667,1440
2023-01-06,section_1,7.966616492501317e-06,8.046245578710525e-06,3.1481822222222227,1440
2023-01-06,section_2,1.4245655865566868e-06,1.4448275526014638e-06,3.1481822222222227,1440
2023-01-06,section_3,4.501853692666117e-07,4.52944916111423e-07,3.1481822222222227,1440
2023-01-06,section_4,2.3818061731629124e-08,2.4700243466191463e-08,3.1481822222222227,1440
2023-01-06,section_5,1.2269852271171967e-08,1.2676178230584382e-08,3.1481822222222227,1440
2023-01-06,section_6,8.808212741200292e-07,8.887992874271232e-07,3.1481822222222227,1440
2023-01-06,section_7,1.1047339961843502e-06,1.1260599870498715e-06,3.1481822222222227,1440
2023-01-06,section_8,6.986041800319278e-06,7.168445122936138e-06,3.1481822222222227,1440
2023-01-07,section_1,8.011666438675365e-06,8.139620079853398e-06,3.1479092361111114,1440
2023-01-07,section_2,1.4149580674837065e-06,1.4362253817228289e-06,3.1479092361111114,1440
2023-01-07,section_3,4.559039234935925e-07,4.5873074924108034e-07,3.1479092361111114,1440
2023-01-07,section_4,2.4058411038706972e-08,2.5747598437789056e-08,3.1479092361111114,1440
2023-01-07,section_5,1.3157566885091618e-08,1.3927567267509833e-08,3.1479092361111114,1440
2023-01-07,section_6,8.730053451665488e-07,8.846048660087847e-07,3.1479092361111114,1440
2023-01-07,section_7,1.1066452858116555e-06,1.1217538347281004e-06,3.1479092361111114,1440
2023-01-07,section_8,6.990942992736234e-06,7.1839713147739095e-06,3.1479092361111114,1440
2023-01-08,section_1,8.146908819646268e-06,8.211912605154373e-06,3.1474446527777773,1440
2023-01-08,section_2,1.438517899278228e-06,1.4610769947796102e-06,3.1474446527777773,1440
2023-01-08,section_3,4.562496449467859e-07,4.585146728388638e-07,3.1474446527777773,1440
2023-01-08,section_4,2.4100983409462043e-08,2.4874010395696465e-08,3.1474446527777773,1440
2023-01-08,section_5,1.5299233133636707e-08,1.5991971314258603e-08,3.1474446527777773,1440
2023-01-08,section_6,8.628872315517939e-07,8.720929510193155e-07,3.1474446527777773,1440
2023-01-08,section_7,1.096415838602762e-06,1.113171208711156e-06,3.1474446527777773,1440
2023-01-08,section_8,6.94642894549732e-06,7.137453182930508e-06,3.1474446527777773,1440
2023-01-09,section_1,8.057656605369811e-06,8.170880325732881e-06,3.1473486805555555,1440
